structure_id,category,applicability,destinations,content_types,response_type,required_representation,dok_range,bloom_process_descriptors,evidence_produced,works_well_when,avoid_when,security_suitability,provenance
INFO-SCREEN-RELEVANT-IRRELEVANT-01,22. Information Screening,all math/science courses,"Practice, Summative","any context-rich problem, data table, or graphic with more information than needed",short constructed-response,"data-rich context/table/graphic (given, with excess information) → identification of which pieces are needed vs. not, plus the solution (produced)",2–3,Analyze,whether a student solves by understanding the problem's actual structure or by reflexively using every number given,"real-world, realistically messy contexts are used (paired well with MULTISTEP-REAL-CONTEXT-DECOMPOSE)",the excess information is so obviously irrelevant that no real filtering judgment occurs,Summative-safe,"Hess Cognitive Rigor Matrix DOK 2 descriptor ""identify whether specific information is contained in graphic representations,"" extended to a full relevance-screening task"
VERIFY-REASONABLENESS-01,23. Verify Reasonableness / Self-Check,all math/science courses,"Practice, Exit Ticket",any computed numeric result with a real-world interpretation,short constructed-response,"a computed answer (given, sometimes wrong by an order of magnitude or a sign error) → reasonableness judgment + explanation (produced)",3,Evaluate,"whether a student has real-world number sense as a check on procedural work, catching the common ""I got a negative answer for a length and didn't notice"" failure mode","used as a recurring, low-stakes exit-ticket habit rather than a rare special task",the context has no clear real-world sense to check against (purely abstract symbolic problems),Formative,"Hess Cognitive Rigor Matrix DOK 3 Evaluate descriptor, ""verify reasonableness of results""; also directly reflects ESTIMATE-BEFORE-COMPUTE-01's complementary skill (checking after, rather than predicting before)"
TRANSFER-NOVEL-CONTEXT-01,24. Transfer to Novel Context,"all courses, especially strong for Summative/final review","Summative, PT",any concept that's been taught in one recurring context and needs testing in a genuinely new one,extended constructed-response,matches whatever the novel context requires,"3–4 (4 when the student must also recognize *that* the concept applies before applying it, with no signal)","Apply, Analyze (recognition step)",genuine understanding vs. context-bound pattern matching — the single best test of whether a skill has actually transferred,used sparingly on summative assessments/finals specifically to distinguish deep from surface learners,"used in routine practice, where predictable, signaled contexts are more appropriate for skill-building","Summative-safe, ideal use case","Hess Cognitive Rigor Matrix DOK 3 Evaluate/Apply descriptor ""apply understanding in a novel way""; general transfer-assessment principle standard in assessment design literature"
SYNTHESIZE-MULTISOURCE-01,25. Synthesis Across Multiple Sources,"APCalc, Physics, Chem, Bio, PT tasks generally","PT, Summative (capstone)",any question answerable only by combining two distinct given sources/data sets,extended constructed-response,two or more independent data sets/graphs/texts (given) → single integrated answer requiring both (produced),4,"Analyze, Evaluate, Create","whether a student can integrate multiple pieces of evidence into one coherent conclusion, a capstone-level skill","used as a rare, high-value PT or final-review task",used routinely — DOK 4 multi-source synthesis is appropriately infrequent and cognitively demanding,Summative-safe,"Hess Cognitive Rigor Matrix DOK 4 Create descriptor, ""synthesize information across multiple sources or texts"""
DISCRIMINATE-ODD-ONE-OUT-01,26. Discrimination / Odd-One-Out,all math/science courses,"Warm-Up, Notes, Discourse/Reflection",any set of 3-4 items sharing multiple possible groupings,"short constructed-response, open-ended","3–4 items (equations, graphs, figures, values) → identification of which doesn't belong + justification (produced) — deliberately designed so more than one defensible answer exists",3,"Analyze, Evaluate",breadth of a student's property recognition — a student who can only find one valid grouping reveals narrower conceptual coverage than one who can articulate multiple,used as a discussion-opener (small groups can disagree productively) rather than a single-answer graded item,"grading strictly for one ""correct"" outlier — this defeats the architecture's entire purpose and punishes valid alternative reasoning",Formative/discussion-only; not appropriate as a single-answer summative item,"Big Ideas Math's ""Which One Doesn't Belong?"" named recurring feature, explicitly documented as encouraging ""debate and sense making"" tied to Mathematical Practice 3 (construct viable arguments and critique the reasoning of others)"
GEOM-TRANSFORM-DESCRIBE-COMPOSITION-01,"27. Geometry: Transformation, Similarity & Coordinate Proof","Geo, Alg2","Practice, Summative",sequences of rigid transformations mapping one figure to a congruent/similar one,short constructed-response,"two figures (given, before/after) → sequence of transformations that maps one to the other (produced)",3,"Analyze, Apply","whether a student can plan a multi-step transformation sequence, not just execute single named transformations","the two figures cannot be mapped by any single transformation, forcing genuine composition reasoning","a single transformation suffices — reduces to simple identification, not composition planning",Summative-safe,"standard geometry transformation-composition task type, common across Common-Core-aligned geometry sequences"
GEOM-COORDINATE-PROVE-PROPERTY-01,"27. Geometry: Transformation, Similarity & Coordinate Proof","Geo, Alg2","Practice, PT, Summative","coordinate proof (parallelogram properties, right triangles, distance/midpoint-based classification)",extended constructed-response,figure with coordinate vertices (given) → proof using distance/slope/midpoint formulas (produced),3,"Apply, Analyze","whether a student connects algebraic computation to geometric conclusion, not just correct arithmetic",bridging algebra and geometry units explicitly,"the connecting statement (what the algebra proves geometrically) isn't required in the rubric — without it, this collapses into plain slope/distance practice",Summative-safe,"standard coordinate-geometry proof architecture, common across Common-Core-aligned geometry sequences (Pearson/Prentice Hall style Essential Understanding framing)"
GEOM-SIMILARITY-INDIRECT-MEASURE-01,"27. Geometry: Transformation, Similarity & Coordinate Proof",Geo,"Practice, PT","similar triangles, indirect measurement",short constructed-response,real-world scenario with a measurable and an immeasurable quantity (given) → similar-triangle setup + solution (produced),3,"Apply, Analyze","whether a student recognizes similarity structure in a real context and can correctly justify it, not just execute a memorized ""shadow problem"" template",context varies enough that students can't pattern-match to one memorized shadow-problem setup,the same shadow-problem context is reused repeatedly — becomes memorized rather than reasoned,Summative-safe with context variation,"standard indirect-measurement/similar-triangles application, common across geometry curricula (CPM's Similarity Toolkit eTool references this task family directly)"
TRIG-IDENTITY-VERIFY-STRATEGIC-01,28. PreCalc: Trigonometric Reasoning,"PreCalc, APCalc","Practice, Summative",trig identity verification,extended constructed-response,"identity to verify (given) → strategic manipulation path (produced), working from one side to match the other",3,"Apply, Analyze","strategic flexibility with identities, not just memorized substitution chains","identity has multiple valid solution paths, so the strategic choice itself is meaningful",the identity has only one obvious path — reduces to PROC-MULTISTEP with no real strategic decision,Summative-safe,"standard PreCalc trig-identity task structure, present across Finney-style and CPM-style precalculus sequences"
TRIG-CONNECT-UNITCIRCLE-GRAPH-EQUATION-01,28. PreCalc: Trigonometric Reasoning,PreCalc,"Notes, Practice, Summative","unit circle, trig function graphs, trig equations",short constructed-response,"one of unit circle / graph / equation (given) → another representation (produced), specifically for periodic/trig relationships",2–3,"Understand, Apply","whether trig understanding is unit-circle-native or graph-native or both, versus memorized in only one representation","early in a trig-graphing unit, to prevent students from treating the unit circle and the graph as unconnected topics","the specific angle/point chosen is a ""nice"" special angle every time — vary to include non-special angles to prevent memorized lookup-table answers",Summative-safe,"general PreCalc representation-transfer pattern, specialized from REPTRANS-GRAPH-TABLE-EQUATION-01 for periodic functions"
CHEM-STOICH-FACTOR-LABEL-CHAIN-01,29. Chemistry: Stoichiometry & Equilibrium,Chem,"Practice, Summative","mole-mass-particle conversions, stoichiometric ratios",short constructed-response,"given quantity of one substance → quantity of another substance via a balanced equation (produced), showing the full factor-label chain",2,Apply,procedural fluency with the factor-label method specific to stoichiometry,"early in a stoichiometry unit, building the chain step by step before combining into longer multi-step conversions",used exclusively — pair with CHEM-EQUILIBRIUM-SHIFT-PREDICT or CER tasks so the unit isn't purely procedural,Summative-safe,"standard chemistry stoichiometry task structure, a domain-specialized instance of the PROC-MULTISTEP-CHAIN-01 architecture"
CHEM-EQUILIBRIUM-SHIFT-PREDICT-01,29. Chemistry: Stoichiometry & Equilibrium,Chem,"Practice, Summative","Le Chatelier's principle, equilibrium systems",short constructed-response,equilibrium system + a described perturbation (given) → predicted shift direction + justification (produced),3,"Apply, Analyze","whether a student applies Le Chatelier's principle through genuine reasoning about the system, or through memorized shift-direction rules that break down on edge cases (like equal-mole reactions under pressure change)","the item set deliberately includes at least one edge case (equal moles of gas, so pressure changes don't shift equilibrium) to test genuine understanding vs. rule memorization","every instance is a ""textbook standard"" case — edge cases are what actually differentiate real understanding here",Summative-safe,standard chemistry equilibrium task structure; edge-case design specifically informed by the general error-diagnosis principle established in ERROR-DIAGNOSE-WORKED-SOLUTION-01
SELRESP-SINGLE-MISCONCEPTION-CHECK-01,"30. Selected-Response, Low-Stakes Optimized",all courses,"Blooket, Quick Check, Warm-Up","any topic with one well-documented, specific misconception worth a fast check","selected-response (single best answer, 4 options)","minimal — short prompt, no extended context needed","1–2 (this format is intentionally low-DOK — it's built for speed and diagnostic precision, not depth)","Remember, Understand","rapid, low-stakes signal of whether a specific misconception is present class-wide (aggregate response data is more valuable than any single response)","used for fast formative checks (Blooket, warm-up polls) where speed and aggregate diagnostic signal matter more than depth","used as a Summative item, or when depth of understanding (not just presence/absence of one misconception) is the actual assessment target — this architecture is deliberately shallow by design","Formative/low-stakes only — not summative-safe, since selected-response with one obvious diagnostic distractor is easy to memorize","general fast-formative-check design principle, distinct from the constructed-response ERROR-DIAGNOSE architecture by being optimized for speed/aggregation rather than depth"
FRQ-MULTIPART-SHARED-CONTEXT-01,31. AP Calculus: FRQ-Style Multi-Part Architectures,APCalc (meta-architecture; also generalizes to Physics extended problems),"Summative, PT",any unit with 3+ skills that can share one setup,"extended constructed-response, multi-part (typically 3–4 parts, labeled a/b/c/d)","one shared context/setup (given) → multiple independently-scored sub-answers (produced), each testing a different skill against the same underlying object","3, with individual parts ranging 1–3",varies per part; the overall task typically spans Apply through Analyze,"a fuller picture of a student's understanding of one object from multiple angles, plus resilience — whether an early error cascades into total failure or the student can recover with follow-through work",used as the default structure for Summative items testing an entire unit's connected skills around one rich object,"the parts don't actually share meaningful structure — bolting unrelated questions together under one label isn't this architecture, it's just a numbered list",Summative-safe; this is the standard architecture for high-stakes assessment,structural pattern observed across AP Classroom Topic Questions scoring guides (format and point-allocation structure only — no specific problem content reproduced); this is also the canonical structure of released AP FRQs generally
TABLE-ESTIMATE-RATE-FROM-DATA-01,31. AP Calculus: FRQ-Style Multi-Part Architectures,APCalc,"Practice, Summative",derivative/rate estimation from discrete data,short constructed-response,data table with unevenly-spaced values (given) → difference-quotient estimate with units (produced),2,Apply,"whether a student understands the derivative as a rate estimated from local data, not only as a symbolic differentiation output","paired with a units-justification requirement (units of the rate must be stated correctly, e.g., meters/second²)",the table is evenly spaced with only one obviously correct pair to use — a slightly irregular table produces better reasoning evidence,Summative-safe with new data sets,"standard AP Calculus table-based rate-estimation task structure, observed consistently across AP Classroom Topic Questions covering derivative estimation from data (structure only)"
BOUND-JUSTIFY-VIA-SIGN-CONDITION-01,31. AP Calculus: FRQ-Style Multi-Part Architectures,APCalc,"Practice, Summative","accumulation/FTC reasoning, monotonicity arguments",short constructed-response,"a sign condition on a rate function (given) → an inequality bound on a related quantity's value (produced), without ever computing the quantity exactly",3,"Analyze, Evaluate",whether a student can reason rigorously about a quantity's value without needing to compute it exactly — a hallmark of genuine calculus understanding vs. purely computational fluency,paired with an accumulation-function or velocity/position context in Unit 4 or 6,the exact value actually is computable from given information — using a bound-argument when a precise answer exists undersells what should be asked,Summative-safe,"observed structural pattern across AP Classroom Topic Questions covering contextual applications of differentiation/integration (structure only — this is a well-known, widely-taught AP Calculus reasoning pattern, not unique content)"
ACCUMULATION-FUNCTION-MULTIPART-01,31. AP Calculus: FRQ-Style Multi-Part Architectures,APCalc,"Practice, Summative","Fundamental Theorem of Calculus, accumulation functions defined as g(x) = [constant] + ∫f(t)dt","extended constructed-response, multi-part","a graphically-defined integrand f (given, typically as a piecewise-linear graph) → evaluation, differentiation, and concavity analysis of the accumulation function g (produced across several parts)",3,"Apply, Analyze","whether a student has an integrated, FTC-fluent understanding connecting a function's graph to multiple derivative levels of a related accumulation function",used as a Unit 6 capstone item — this architecture efficiently tests several connected FTC skills in one task,"used before FTC itself has been solidly taught — this is a synthesis architecture, not an introductory one",Summative-safe with a new graph each version,structural pattern observed consistently across AP Classroom Topic Questions covering Unit 6 (Integration and Accumulation of Change); also directly reflected in the AP Calculus CED's emphasis on FTC as a connecting theorem across units
COMPOSE-ABSTRACT-FUNCTION-DERIVATIVE-01,31. AP Calculus: FRQ-Style Multi-Part Architectures,APCalc,"Practice, Summative","chain rule, product rule, quotient rule applied to functions defined only by graph or table (not explicit formula)",short constructed-response,"two or more functions defined abstractly (given, via graph/table, with only specific values/derivative-values known) → a derivative of their composition/product/quotient evaluated at a specific point (produced)",3,"Apply, Analyze","whether a student understands differentiation rules as general symbolic relationships (transferable to any function, known or not) rather than formula-manipulation tied to explicit algebraic expressions","reinforcing that derivative rules are structural, not tied to having an explicit formula — a common AP-level gap","introducing a new differentiation rule for the first time — abstract-function application should follow, not precede, formula-based practice",Summative-safe,"structural pattern observed consistently across AP Classroom Topic Questions covering Unit 3 (Composite, Implicit, and Inverse Functions); a well-established, widely-taught AP Calculus task structure"
NONEXISTENCE-VALID-ANSWER-01,31. AP Calculus: FRQ-Style Multi-Part Architectures,"APCalc, PreCalc","Practice, Summative","derivatives at non-differentiable points, limits at discontinuities, any concept with a legitimate ""does not exist"" outcome",short constructed-response,"a function/graph with at least one point where a requested quantity doesn't exist (given) → correct identification of non-existence with justification (produced), mixed among other sub-questions that DO have computable answers",3,"Analyze, Evaluate","whether a student has genuine conceptual understanding of existence conditions, or is trained to always produce a number",deliberately mixed into a set alongside normally-answerable items — the contrast is what makes it diagnostic,"used in isolation as an obvious ""gotcha"" flagged by context — the diagnostic value comes from it being indistinguishable in framing from a normal item until the student actually reasons through it",Summative-safe,"structural pattern observed repeatedly across AP Classroom Topic Questions (the ""find the value, or state that it does not exist"" phrasing recurs across multiple units) — this framing pattern itself, not any specific instance, is the architecture"
DIFFERENTIATE-WITH-SYMBOLIC-PARAMETER-01,31. AP Calculus: FRQ-Style Multi-Part Architectures,"APCalc, PreCalc, Alg2","Practice, Summative","any procedure (differentiation, solving, simplification) where a letter constant is carried through instead of a specific number",short constructed-response,"an expression containing a symbolic parameter (given, e.g., k, a, or b as an arbitrary constant) → the procedure's result, left in terms of that parameter (produced)",2–3 (3 when multiple dependent steps must each correctly retain the parameter),"Apply, Analyze",whether procedural understanding is general (works for any value) or dependent on having concrete numbers to compute with,following any procedure that's been practiced extensively with numeric values — this is a natural fluency check that the procedure is understood symbolically,"introducing the procedure for the first time — symbolic-parameter versions should come after numeric fluency is established, not before",Summative-safe,structural pattern observed across AP Classroom Topic Questions in multiple units (differentiation rules applied to functions with an arbitrary positive constant) — a standard AP-level technique for testing generalized procedural understanding
INVARIANT-PROVE-PARAMETER-INDEPENDENT-01,31. AP Calculus: FRQ-Style Multi-Part Architectures,"APCalc, Alg2, PreCalc","Summative, PT","optimization, extrema, any result that turns out to be independent of a parameter defining a family of functions/objects",extended constructed-response,"a family of functions/objects defined by a parameter (given) → algebraic proof that a specific computed result (an extremum's value, an intersection point, etc.) is the same for every value of that parameter (produced)",4,"Analyze, Create",the clearest possible distinction between empirical pattern-noticing and rigorous general proof — a capstone-level skill,"used as a rare, high-value final part of a larger multi-part item (this pairs naturally as the culminating part of FRQ-MULTIPART-SHARED-CONTEXT)",used routinely — genuinely proving parameter-independence is appropriately rare and demanding,Summative-safe,"structural pattern observed directly in an AP Classroom Topic Question (Unit 1) — the ""show that the result is the same for all nonzero values of b"" framing; the general architecture (not the specific function or context) is what's extracted here"
SELFASSESS-CONFIDENCE-RESPOND-01,32. Metacognitive Reflection & Self-Assessment,"all courses, especially as a unit-closing routine","Notes, Discourse/Reflection (unit closure)",any set of problems spanning a unit's range of skills,"short constructed-response, self-directed","a completed set of practice problems (given, already attempted) → confidence rating per problem + a differentiated follow-up task depending on that rating (produced)",varies by follow-up task chosen (the rating itself is DOK 1; the low-confidence question-generation or high-confidence harder-problem-writing follow-ups are DOK 2–3),"Evaluate (self-assessment), Create (follow-up task, either direction)","metacognitive accuracy — whether a student's self-rated confidence actually predicts their performance — plus specific, actionable information about exactly where a low-confidence student is stuck",used consistently as a unit-closing routine so students build the habit of honest self-assessment over time,"used as a graded/scored task on correctness — this architecture's value is in honest self-report, which is undermined the moment it's graded like a content question",Formative only,"CPM's chapter closure ""What Have I Learned?"" self-assessment structure (documented recurring closure-section pattern across CPM courses, not a specific problem)"
GRAPH-TO-NARRATIVE-01,33. Reverse Narrative / Context Invention from Data,"Alg1, Alg2, Physics","Notes, Discourse/Reflection, Practice","any graph with distinct qualitative features (increasing/decreasing/flat segments, sharp changes)",short constructed-response,"an abstract graph with no context (given, axes may even be unlabeled or generically labeled) → an invented real-world story consistent with every feature of the graph (produced)",3,"Understand, Create",whether a student's graph-reading is genuinely meaningful (can generate context) rather than only receptive (can answer questions about a given context),used after GRAPH-INFER-BEHAVIOR has been practiced in the forward direction,the graph is too simple (a single straight line) to require accounting for multiple distinct features,"Formative-preferred (open-ended, hard to standardize grading for summative use)","CPM chapter closure task type — ""interpret the graph to tell a story about what could have happened"" (documented recurring closure pattern, general framing only, not a specific problem's context)"
FACTORPAIR-SUM-PRODUCT-PUZZLE-01,34. Numeric Puzzle / Factor-Pair Fluency,"Alg1 (pre-factoring fluency), cross-curricular warm-up","Warm-Up, Notes","factoring trinomials (as a fluency precursor), integer operations","short constructed-response, puzzle format",a given sum and product (or two of three related quantities in a small fixed structure) → the two numbers satisfying both conditions (produced),1–2,Apply,rapid diagnostic signal of the specific sum-product number sense that later supports factoring fluency — a well-isolated prerequisite skill check,used as a warm-up routine in the weeks immediately before formally introducing trinomial factoring,used in isolation without ever being connected explicitly to the factoring procedure it supports — the payoff is in making that connection explicit,Formative/Practice,"CPM's recurring ""Diamond Problem"" warm-up puzzle format, a widely-used sum/product fluency device (the underlying sum-product task structure is described generically here; the specific graphic device is CPM's own recurring feature)"
NOTICE-WONDER-ESTIMATE-REVEAL-01,35. Notice & Wonder / Three-Act Structure,all math/science courses (strongest for Alg1/Alg2/Physics contextual problems),"Notes, PT (lesson-opening activity)",any real-world scenario with a genuinely surprising or curiosity-provoking quantity,"extended, multi-stage constructed-response (not a single question — a full lesson-arc activity)","a real-world image, video, or brief scenario (given, with deliberately withheld numeric information) → student-generated question, three estimates (too-low, too-high, best-guess), a stated information request, and finally a compare-to-reveal reflection (produced, across stages)","3–4 (problem formulation and information-need identification are themselves DOK 3+ tasks, before any computation begins)","Analyze (question formulation), Apply (solving), Evaluate (comparing to the reveal)","whether students can formulate their own mathematical questions and identify necessary information from an unstructured real situation — the single hardest and most authentic modeling skill, and one that every other architecture in this library assumes has already been done for the student","used to open a unit or introduce a new modeling context, where curiosity and question-generation are the actual instructional goal","used as a routine daily structure — it's intentionally time-intensive and loses its curiosity-driven power if overused; also avoid when the ""reveal"" doesn't actually resolve cleanly (a weak Act 3 undermines the whole arc)",Formative only; not a gradable summative item in the traditional sense,"Dan Meyer's ""Three-Act Math"" task structure (Act 1: notice/wonder with withheld information; Act 2: information request and solving; Act 3: reveal and compare to estimates) — a well-documented, widely-adopted instructional framework, described generically here without reproducing any specific published three-act task"
OPTIMIZE-CONSTRAINED-ARRANGEMENT-01,36. Constrained Optimization (Open Middle Style),"Alg1, Alg2, cross-curricular (adaptable to any grade band)","Warm-Up, Practice, Notes","any task where a fixed set of digits/values must be arranged to satisfy an expression, then optimized","short constructed-response, open-ended within a closed answer space",a fixed set of values/digits and an expression template with blanks (given) → an optimal (maximum or minimum) arrangement (produced),3,"Analyze, Evaluate","whether a student reasons structurally about how placement affects outcome (e.g., understanding that the largest digit should go in the highest place value for maximizing a sum of products) versus solving by trial and error alone","used as a fast-cycling warm-up that still requires genuine strategic thinking — this architecture is unusually good at producing DOK 3 reasoning in a short, low-prep format",the search space is small enough that trial-and-error is just as fast as genuine reasoning (defeats the purpose) — the value comes from a search space large enough to reward structural insight,Summative-safe if numbers/template vary; Formative-ideal for daily warm-ups,"Robert Kaplinsky's ""Open Middle"" task format (closed beginning, closed end, open middle) — a well-documented, widely-used instructional framework; described generically here as a task structure, not any specific published Open Middle problem"
MODEL-GUIDED-INQUIRY-CYCLE-01,37. Guided Inquiry Model Cycle,"Chem, Bio, Physics, Alg1/Alg2 (concept-introduction contexts)","Notes, PT (concept-introduction activities)",any concept that can be discovered from a well-chosen model/data set rather than told directly,"extended constructed-response, sequenced question set (typically team-based)","a model (given: data table, diagram, or simulation output) → a sequence of three question types answered in order (produced): directed questions (surface-level, ensure the model is read correctly), convergent questions (synthesize a pattern/relationship from the model into a stated concept), and application questions (apply the newly-formed concept to a new, unseen situation)","spans 1 (directed) through 3 (application) within a single activity — the sequence itself is the point, not any single question's level","Remember/Understand (directed), Analyze (convergent), Apply (application)","a full diagnostic trace of where a team's understanding broke down — whether at model-reading, concept-formation, or transfer — rather than a single pass/fail signal","introducing a new concept that has a clean underlying model or pattern (e.g., gas laws from pressure/volume/temperature data, or the effect of a coefficient on a function's graph) — this architecture is specifically for concept *discovery*, not review",used for review of an already-taught concept — the guided-discovery structure is wasted effort if the concept is already known; also avoid when no clean underlying model/pattern exists to discover,"Formative only — this is fundamentally a team discovery activity, not a gradable individual assessment item","POGIL (Process Oriented Guided Inquiry Learning) — a well-established, widely-used instructional framework originating in chemistry education (three-phase learning cycle: exploration/directed questions, concept invention/convergent questions, application/divergent questions), described generically here as a task-sequencing architecture"
CONSTRUCT-REPLICATE-CONJECTURE-01,38. Peer Construction & Precision Communication,"Geo, Alg1 (early function/pattern discovery contexts)","Notes, PT (discovery activities)","any geometric or numeric property that holds invariantly across independently-constructed instances (angle sums, always-true relationships)","extended constructed-response, team-based, hands-on","a set of construction conditions (given, e.g., specific angle/side measurements) → independently-built physical or digital constructions (produced by each team member separately) → compared results → a stated conjecture about what's invariant across all of them","3–4 (4 if the technology-verification step extends testing to cases beyond what was physically constructed, approaching genuine generalization)","Analyze, Create (conjecture formation)",whether a student trusts a pattern because of convergent independent evidence (a genuine scientific-reasoning habit) rather than accepting a single example or being told the result directly,"introducing a new geometric theorem or numeric relationship that's genuinely discoverable through hands-on construction, rather than told directly first",the property isn't actually discoverable this way (too abstract for physical/independent construction) or when time constraints don't allow for genuine independent work before comparison,"Formative only — this is a discovery activity, not a gradable item","CPM's independent-construction-then-compare lesson structure (documented recurring pattern across CPM geometry-strand lessons, general framing only, not a specific problem's numbers/context)"
DESCRIBE-TO-REPRODUCE-01,38. Peer Construction & Precision Communication,"Geo, Alg1, Alg2 (any topic where an object can be fully specified by a set of conditions/properties)","Notes, Practice (paired/team activities)","geometric figures, functions, data sets — anything specifiable by a list of defining conditions","short constructed-response, paired activity (two distinct roles: describer and reproducer)",a target object known only to the describer (given/chosen by student A) → a written set of conditions precise enough for a partner to reproduce it without seeing it (produced by student A) → the partner's reproduction attempt based solely on the description (produced by student B) → comparison and correction,3,"Understand, Create (precise specification), Apply (reproduction from specification)",precision of mathematical communication and understanding of which properties are defining vs. incidental for a given object — a skill distinct from being able to construct or identify an object when given a visual,following CONSTRUCT-REPLICATE-CONJECTURE or any lesson establishing what properties define a category of object,"the object has only one or two defining properties (too simple to require genuine precision) — richer objects (quadrilaterals, functions with several stated behaviors) produce better evidence","Formative only (paired activity, not independently gradable)","CPM's reciprocal partner-construction task structure (""write down conditions, trade papers, verify without drawing it for them"") — documented recurring lesson pattern; conceptually parallel to the widely-used Desmos ""Polygraph"" describe-to-identify activity format, though extracted here directly from the CPM source material"
PARTWHOLE-PERCENT-DECOMPOSITION-01,39. Part-Whole Decomposition,"Alg1, cross-curricular (proportional reasoning)","Practice, Warm-Up",percent-of-a-whole problems where several known parts must reconcile with a total,short constructed-response or table completion,"several parts of a whole, given as a mix of percentages and absolute amounts, with exactly one part unknown (given) → the missing part, found using the constraint that all parts must sum to the whole (produced)",2–3 (3 when parts are given in mixed units requiring reconciliation before the sum-constraint can be applied),"Apply, Analyze",whether a student reasons about parts-of-a-whole as a constrained system rather than a set of independent percent calculations,"following direct percent-of-a-whole instruction, as a step up in reasoning complexity","all parts are given in the same unit and the missing part is simply ""100% minus the others"" with no real reconciliation needed — vary the units to keep the reasoning genuine",Summative-safe with new values,"CPM's recurring part-whole percent decomposition task type (documented recurring pattern in CC Course 1 percent-unit lessons, general framing only, not a specific problem's context or numbers)"
PROC-DIRECT-EXECUTE-01,Direct Fluency / Retrieval,"Alg1, Alg2, PreCalc, APCalc, Physics, Chem, cross-curricular","Warm-Up, Notes, Practice, Exit Ticket, Quick Check, Blooket","solve, evaluate, simplify, differentiate, substitute, calculate, identify a directly taught relationship","numeric entry, short constructed-response, or selected-response",equation/expression/data/diagram as appropriate,1–2 depending on the skill and representation; direct execution is not raised by adding the word explain,"Remember, Apply",whether the student can accurately perform the exact target skill without unnecessary scaffolding,fluency matters and repeated legitimate execution is instructionally useful,wrapping a simple skill in fake dialogue/context solely to appear more rigorous,Practice/Formative by default; Summative-safe when parameters vary and the target legitimately belongs on the assessment,user curriculum philosophy: direct solve/evaluate/simplify/differentiate questions are legitimate and should not be disguised merely to create surface variety
PROC-DIRECT-VARIATION-SET-01,Direct Fluency / Retrieval,"Alg1, Alg2, PreCalc, APCalc, Physics, Chem","Practice, Warm-Up, CYU",a single skill that benefits from several repetitions with meaningful variation,set of short constructed-response or numeric-entry items,same core representation with controlled structural variation,1–2,Apply,whether execution is stable across nearby but meaningfully different cases,students need repeated practice to make a foundational process reliable,creating many cosmetic clones that add no new discrimination or fluency value,Practice/Formative only as a set,user curriculum philosophy distinguishing useful repetition from mechanical filler
VOCAB-TERM-TO-DEFINITION-01,Vocabulary / Concept Recall,all courses,"Warm-Up, Practice, Exit Ticket, Blooket, Tarsia, Quick Check","discipline vocabulary, symbols, named theorems/principles","short constructed-response, matching, or selected-response",term/name -> verbal meaning,1,"Remember, Understand",whether the student recognizes what an important term means,terminology itself is necessary for later reasoning,using vocabulary recall as a substitute for conceptual/application evidence,Formative; low-security unless embedded in a richer assessment,user-specified term-to-definition structure; common cross-curricular vocabulary check
VOCAB-DEFINITION-TO-TERM-01,Vocabulary / Concept Recall,all courses,"Warm-Up, Practice, Exit Ticket, Blooket, Tarsia, Quick Check","discipline vocabulary, symbols, named theorems/principles","short constructed-response, matching, or selected-response",verbal definition -> term/name,1,Remember,whether the student can retrieve the correct disciplinary term from meaning,vocabulary retrieval is part of the target,when the assessment needs application rather than label recall,Formative; low-security,user-specified definition-to-term structure
VOCAB-CONCEPT-TO-TERM-01,Vocabulary / Concept Recall,all courses,"Warm-Up, Practice, Exit Ticket, Blooket, Tarsia, Quick Check",concept examples/situations that instantiate a named idea,short constructed-response or selected-response,example/situation -> term/name,1–2,Understand,whether vocabulary is connected to an actual concept/example rather than memorized wording only,students must connect language to situations,when the context adds no interpretive demand beyond copying a definition phrase,Formative; Summative-safe only when context varies and the target is legitimately low-DOK,user-specified concept-to-term structure
VOCAB-TERM-TO-CONCEPT-01,Vocabulary / Concept Recall,all courses,"Warm-Up, Notes, Practice, Exit Ticket, Quick Check",discipline vocabulary tied to conceptual examples,short constructed-response,term/name -> example/explanation,1–2,"Understand, Apply",whether the student can move from a label to an actual conceptual instance,you want stronger evidence than definition recall but still a compact prompt,requiring a long explanation when a brief valid example would suffice,Formative; can be Summative-safe if open response and target fits,user-specified term-to-concept structure
FEATURE-IDENTIFY-FROM-REPRESENTATION-01,Representation Reading,"Alg1, Alg2, PreCalc, APCalc, Physics","Warm-Up, Notes, Practice, Exit Ticket, Quick Check, Blooket","graph/table/diagram features such as intercept, maximum, increasing interval, slope, velocity sign, force direction, wave feature","short constructed-response, numeric entry, or selected-response",graph/table/diagram -> named or numeric feature,1–2,"Understand, Apply",whether the student can correctly read the representation needed for later reasoning,the representation itself is part of the I-can,describing a graph in prose when an actual graph should be supplied,Formative; Summative-safe with new representations,user visual-notes philosophy plus representation-authenticity rules in the existing library
